0,1,2,3,4,5,6,7,8,9,10
other vegetables,Instant food products,sugar,,,,,,,,
soda,other vegetables,white bread,,,,,,,,
hard cheese,rolls/buns,,,,,,,,,
frankfurter,long life bakery product,,,,,,,,,
liquor,bottled beer,other vegetables,,,,,,,,
sausage,cream cheese ,,,,,,,,,
turkey,beef,root vegetables,margarine,shopping bags,curd,,,,,
specialty cheese,napkins,,,,,,,,,
pip fruit,white wine,chocolate,,,,,,,,
pasta,soda,,,,,,,,,
newspapers,other vegetables,shopping bags,,,,,,,,
tropical fruit,brown bread,,,,,,,,,
other vegetables,coffee,rolls/buns,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
tropical fruit,pip fruit,root vegetables,pet care,,,,,,,
other vegetables,ready soups,baking powder,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
rolls/buns,beef,,,,,,,,,
pork,tropical fruit,,,,,,,,,
whipped/sour cream,pot plants,,,,,,,,,
coffee,brown bread,whole milk,sweet spreads,,,,,,,
pickled vegetables,whole milk,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
dessert,whipped/sour cream,,,,,,,,,
soft cheese,soda,root vegetables,root vegetables,rolls/buns,root vegetables,margarine,shopping bags,,,
citrus fruit,white bread,,,,,,,,,
whole milk,white bread,,,,,,,,,
tropical fruit,pickled vegetables,,,,,,,,,
pastry,hard cheese,,,,,,,,,
root vegetables,coffee,shopping bags,specialty bar,,,,,,,
rolls/buns,bottled water,,,,,,,,,
citrus fruit,candy,,,,,,,,,
root vegetables,canned fish,hygiene articles,,,,,,,,
semi-finished bread,other vegetables,soda,,,,,,,,
shopping bags,chocolate,,,,,,,,,
misc. beverages,domestic eggs,,,,,,,,,
whole milk,chocolate,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
tropical fruit,meat,whole milk,candles,,,,,,,
canned beer,canned fish,,,,,,,,,
specialty chocolate,whole milk,red/blush wine,,,,,,,,
UHT-milk,domestic eggs,,,,,,,,,
sausage,onions,misc. beverages,,,,,,,,
liquor,brandy,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pork,shopping bags,,,,,,,,,
whole milk,dental care,,,,,,,,,
ham,frozen meals,,,,,,,,,
meat,rolls/buns,frozen potato products,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
pip fruit,margarine,,,,,,,,,
citrus fruit,salty snack,oil,,,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
root vegetables,coffee,,,,,,,,,
meat,cake bar,,,,,,,,,
frozen fish,margarine,,,,,,,,,
detergent,ice cream,hamburger meat,soda,sugar,,,,,,
hamburger meat,soda,cling film/bags,,,,,,,,
other vegetables,sugar,oil,,,,,,,,
meat,fruit/vegetable juice,,,,,,,,,
sausage,bottled beer,,,,,,,,,
citrus fruit,pastry,other vegetables,pastry,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
baking powder,soda,beverages,,,,,,,,
pork,whole milk,beverages,soda,,,,,,,
yogurt,root vegetables,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
instant coffee,shopping bags,,,,,,,,,
hamburger meat,root vegetables,other vegetables,whole milk,,,,,,,
salty snack,pip fruit,photo/film,domestic eggs,rolls/buns,,,,,,
other vegetables,whole milk,,,,,,,,,
chicken,other vegetables,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
butter milk,meat,curd,soda,long life bakery product,,,,,,
yogurt,UHT-milk,dessert,frozen dessert,,,,,,,
dessert,pastry,hard cheese,candles,,,,,,,
beef,butter,brown bread,,,,,,,,
canned beer,yogurt,curd cheese,pastry,,,,,,,
sausage,fruit/vegetable juice,whole milk,curd,,,,,,,
waffles,pudding powder,,,,,,,,,
white bread,newspapers,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
specialty bar,domestic eggs,,,,,,,,,
bottled water,newspapers,,,,,,,,,
sausage,pasta,,,,,,,,,
pork,shopping bags,,,,,,,,,
chicken,tropical fruit,rolls/buns,liquor,,,,,,,
dog food,white bread,,,,,,,,,
liquor,yogurt,napkins,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
other vegetables,chewing gum,newspapers,,,,,,,,
beef,rolls/buns,,,,,,,,,
pasta,brown bread,beef,long life bakery product,citrus fruit,whipped/sour cream,specialty cheese,frozen vegetables,,,
canned beer,other vegetables,waffles,oil,,,,,,,
whole milk,coffee,salty snack,root vegetables,yogurt,oil,soft cheese,,,,
citrus fruit,ice cream,,,,,,,,,
pork,rolls/buns,,,,,,,,,
specialty cheese,brown bread,,,,,,,,,
brown bread,salt,,,,,,,,,
flower (seeds),bottled water,,,,,,,,,
sausage,pork,pip fruit,other vegetables,hard cheese,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
whole milk,flower (seeds),,,,,,,,,
cream cheese ,rolls/buns,,,,,,,,,
dessert,other vegetables,,,,,,,,,
other vegetables,rolls/buns,soda,,,,,,,,
bottled beer,newspapers,,,,,,,,,
tropical fruit,whole milk,chocolate,,,,,,,,
seasonal products,rolls/buns,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
yogurt,whipped/sour cream,long life bakery product,hard cheese,,,,,,,
hamburger meat,pip fruit,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
newspapers,roll products ,,,,,,,,,
whole milk,butter,,,,,,,,,
liver loaf,canned beer,candy,,,,,,,,
sausage,bottled beer,dessert,butter,cream cheese ,other vegetables,canned beer,brown bread,,,
berries,other vegetables,,,,,,,,,
other vegetables,frozen vegetables,whole milk,,,,,,,,
other vegetables,citrus fruit,rolls/buns,,,,,,,,
root vegetables,mayonnaise,,,,,,,,,
frozen meals,brown bread,other vegetables,curd cheese,,,,,,,
root vegetables,butter,,,,,,,,,
canned beer,whole milk,,,,,,,,,
coffee,cream cheese ,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
whole milk,soda,,,,,,,,,
waffles,rolls/buns,,,,,,,,,
ham,bottled water,,,,,,,,,
whole milk,pastry,,,,,,,,,
bottled beer,soups,detergent,,,,,,,,
shopping bags,domestic eggs,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
citrus fruit,soda,,,,,,,,,
pork,cookware,root vegetables,canned beer,whole milk,bottled water,oil,whole milk,,,
root vegetables,whole milk,pastry,,,,,,,,
soft cheese,hard cheese,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
rolls/buns,coffee,,,,,,,,,
whole milk,specialty bar,,,,,,,,,
beef,newspapers,canned vegetables,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
rolls/buns,domestic eggs,bottled water,,,,,,,,
frankfurter,sausage,whole milk,domestic eggs,fruit/vegetable juice,,,,,,
whipped/sour cream,shopping bags,pasta,,,,,,,,
citrus fruit,specialty fat,,,,,,,,,
yogurt,pet care,,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
soda,cat food,,,,,,,,,
chocolate,whole milk,,,,,,,,,
coffee,baking powder,,,,,,,,,
chocolate marshmallow,other vegetables,,,,,,,,,
finished products,rolls/buns,,,,,,,,,
ice cream,photo/film,flour,,,,,,,,
chicken,coffee,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
pastry,fruit/vegetable juice,,,,,,,,,
sausage,curd,,,,,,,,,
dessert,other vegetables,whipped/sour cream,,,,,,,,
other vegetables,pudding powder,,,,,,,,,
ham,ice cream,,,,,,,,,
liquor,domestic eggs,,,,,,,,,
pip fruit,pork,seasonal products,canned beer,,,,,,,
shopping bags,bottled beer,,,,,,,,,
citrus fruit,jam,,,,,,,,,
mayonnaise,shopping bags,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
processed cheese,fruit/vegetable juice,frozen meals,cat food,,,,,,,
newspapers,shopping bags,,,,,,,,,
pork,liver loaf,canned beer,whole milk,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
canned beer,domestic eggs,whole milk,,,,,,,,
soda,other vegetables,dishes,,,,,,,,
sausage,beverages,,,,,,,,,
ice cream,white bread,whole milk,bottled water,,,,,,,
frankfurter,ice cream,,,,,,,,,
bottled water,margarine,,,,,,,,,
tropical fruit,mayonnaise,liquor,,,,,,,,
meat,meat,,,,,,,,,
other vegetables,whole milk,pork,onions,,,,,,,
curd,butter,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
hamburger meat,pastry,,,,,,,,,
canned beer,berries,butter,baking powder,,,,,,,
chicken,bottled water,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
whole milk,curd,,,,,,,,,
pork,brown bread,,,,,,,,,
mustard,yogurt,,,,,,,,,
whipped/sour cream,white bread,,,,,,,,,
frozen vegetables,brown bread,,,,,,,,,
butter,butter,margarine,,,,,,,,
photo/film,canned beer,salty snack,curd,curd,whole milk,hygiene articles,,,,
yogurt,pip fruit,house keeping products,frozen vegetables,,,,,,,
whole milk,nuts/prunes,,,,,,,,,
frankfurter,pastry,,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
pip fruit,rum,,,,,,,,,
frozen vegetables,salty snack,other vegetables,curd,hygiene articles,,,,,,
meat,long life bakery product,yogurt,napkins,,,,,,,
ham,tropical fruit,popcorn,,,,,,,,
yogurt,dessert,,,,,,,,,
liquor (appetizer),hard cheese,yogurt,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
soda,newspapers,,,,,,,,,
sausage,hard cheese,,,,,,,,,
processed cheese,hamburger meat,whole milk,,,,,,,,
bottled water,rolls/buns,domestic eggs,,,,,,,,
chicken,butter,,,,,,,,,
whole milk,whipped/sour cream,long life bakery product,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
fish,canned beer,chocolate,,,,,,,,
other vegetables,newspapers,,,,,,,,,
hygiene articles,pastry,,,,,,,,,
domestic eggs,curd,,,,,,,,,
photo/film,bottled beer,,,,,,,,,
dessert,pot plants,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
napkins,other vegetables,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
coffee,whole milk,,,,,,,,,
frankfurter,soups,,,,,,,,,
beef,rolls/buns,,,,,,,,,
ice cream,whipped/sour cream,,,,,,,,,
misc. beverages,sausage,root vegetables,liquor (appetizer),coffee,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
curd,coffee,baking powder,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
whole milk,processed cheese,curd,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
curd,red/blush wine,,,,,,,,,
canned beer,semi-finished bread,,,,,,,,,
rolls/buns,other vegetables,newspapers,,,,,,,,
pip fruit,butter,whole milk,other vegetables,,,,,,,
pip fruit,flower (seeds),,,,,,,,,
beef,bottled water,,,,,,,,,
cream cheese ,sugar,,,,,,,,,
berries,napkins,cereals,,,,,,,,
whipped/sour cream,pot plants,,,,,,,,,
pip fruit,specialty chocolate,,,,,,,,,
pip fruit,pork,sausage,dessert,grapes,soda,dessert,yogurt,whole milk,,
pip fruit,ice cream,newspapers,pastry,,,,,,,
whole milk,root vegetables,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
canned beer,yogurt,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
other vegetables,curd,beef,white bread,,,,,,,
onions,root vegetables,soap,cream cheese ,,,,,,,
sausage,other vegetables,citrus fruit,curd,red/blush wine,dessert,specialty chocolate,white bread,pastry,,
white bread,whole milk,pastry,shopping bags,,,,,,,
sausage,whole milk,,,,,,,,,
citrus fruit,curd,,,,,,,,,
napkins,citrus fruit,,,,,,,,,
oil,shopping bags,,,,,,,,,
white wine,Instant food products,,,,,,,,,
decalcifier,whole milk,,,,,,,,,
chicken,margarine,,,,,,,,,
frankfurter,sliced cheese,,,,,,,,,
long life bakery product,butter milk,,,,,,,,,
tropical fruit,pudding powder,,,,,,,,,
salty snack,waffles,specialty cheese,,,,,,,,
chicken,whole milk,,,,,,,,,
whole milk,chewing gum,yogurt,,,,,,,,
bottled water,curd,semi-finished bread,,,,,,,,
tropical fruit,soda,,,,,,,,,
other vegetables,soda,rolls/buns,dishes,,,,,,,
cream cheese ,long life bakery product,pastry,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
butter,softener,,,,,,,,,
pickled vegetables,soda,,,,,,,,,
whole milk,whole milk,semi-finished bread,brandy,,,,,,,
pork,brown bread,fruit/vegetable juice,shopping bags,,,,,,,
condensed milk,onions,coffee,candy,,,,,,,
yogurt,beef,,,,,,,,,
whole milk,whole milk,,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
dish cleaner,bottled beer,fruit/vegetable juice,,,,,,,,
berries,other vegetables,,,,,,,,,
rolls/buns,frozen meals,,,,,,,,,
yogurt,whole milk,onions,sugar,,,,,,,
sausage,yogurt,,,,,,,,,
whole milk,sweet spreads,pip fruit,bottled water,mustard,,,,,,
root vegetables,citrus fruit,other vegetables,pork,herbs,,,,,,
other vegetables,semi-finished bread,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
coffee,domestic eggs,,,,,,,,,
rolls/buns,pickled vegetables,,,,,,,,,
pastry,grapes,,,,,,,,,
other vegetables,meat,salty snack,,,,,,,,
sausage,soda,candy,,,,,,,,
yogurt,ham,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
turkey,bottled water,,,,,,,,,
whole milk,coffee,,,,,,,,,
other vegetables,curd,,,,,,,,,
whole milk,sausage,bottled beer,yogurt,,,,,,,
beef,liquor,specialty cheese,,,,,,,,
sausage,root vegetables,,,,,,,,,
yogurt,popcorn,,,,,,,,,
onions,root vegetables,,,,,,,,,
fish,sausage,other vegetables,soda,rolls/buns,,,,,,
other vegetables,whole milk,,,,,,,,,
tropical fruit,pip fruit,,,,,,,,,
other vegetables,curd,tropical fruit,brown bread,bottled beer,,,,,,
onions,margarine,sweet spreads,,,,,,,,
pork,tea,,,,,,,,,
frankfurter,pot plants,brown bread,,,,,,,,
other vegetables,whole milk,,,,,,,,,
rolls/buns,cereals,,,,,,,,,
pork,brown bread,misc. beverages,,,,,,,,
specialty cheese,other vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
whole milk,frozen potato products,fruit/vegetable juice,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
ham,curd,,,,,,,,,
tropical fruit,sugar,,,,,,,,,
specialty bar,newspapers,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
specialty chocolate,bottled water,,,,,,,,,
root vegetables,berries,,,,,,,,,
whole milk,bottled beer,UHT-milk,beef,pip fruit,yogurt,salty snack,,,,
sausage,sliced cheese,,,,,,,,,
packaged fruit/vegetables,specialty bar,whipped/sour cream,,,,,,,,
yogurt,bottled beer,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
yogurt,butter milk,,,,,,,,,
pip fruit,flour,other vegetables,,,,,,,,
sausage,ice cream,rolls/buns,,,,,,,,
herbs,whole milk,other vegetables,shopping bags,,,,,,,
onions,frozen vegetables,curd,,,,,,,,
domestic eggs,dessert,,,,,,,,,
butter,margarine,,,,,,,,,
yogurt,flour,,,,,,,,,
white bread,flour,,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
soda,other vegetables,other vegetables,soda,,,,,,,
pip fruit,dessert,hard cheese,,,,,,,,
other vegetables,beef,soda,curd,butter,,,,,,
whole milk,salty snack,margarine,,,,,,,,
whole milk,soda,,,,,,,,,
salty snack,pastry,oil,,,,,,,,
soda,artif. sweetener,salty snack,,,,,,,,
whole milk,bottled water,coffee,,,,,,,,
canned vegetables,napkins,,,,,,,,,
sausage,sausage,frozen vegetables,pastry,,,,,,,
soda,liquor,,,,,,,,,
yogurt,napkins,,,,,,,,,
soda,yogurt,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
rolls/buns,napkins,ice cream,nut snack,,,,,,,
frozen dessert,beef,citrus fruit,root vegetables,,,,,,,
oil,soda,,,,,,,,,
tropical fruit,liquor,,,,,,,,,
sliced cheese,sugar,,,,,,,,,
whole milk,pickled vegetables,,,,,,,,,
pet care,pastry,red/blush wine,,,,,,,,
sweet spreads,white wine,,,,,,,,,
oil,brown bread,oil,seasonal products,,,,,,,
fish,bottled beer,,,,,,,,,
curd cheese,soda,,,,,,,,,
waffles,brown bread,,,,,,,,,
roll products ,rolls/buns,,,,,,,,,
pastry,onions,,,,,,,,,
soft cheese,yogurt,hard cheese,coffee,roll products ,,,,,,
root vegetables,other vegetables,dessert,,,,,,,,
tropical fruit,curd,,,,,,,,,
rolls/buns,kitchen towels,,,,,,,,,
domestic eggs,whipped/sour cream,,,,,,,,,
sausage,rolls/buns,soda,,,,,,,,
tropical fruit,chicken,waffles,,,,,,,,
male cosmetics,oil,,,,,,,,,
whole milk,oil,soups,,,,,,,,
hygiene articles,chocolate,,,,,,,,,
other vegetables,soda,root vegetables,flower soil/fertilizer,meat,shopping bags,soda,processed cheese,,,
oil,other vegetables,rolls/buns,,,,,,,,
brandy,whole milk,,,,,,,,,
margarine,whipped/sour cream,,,,,,,,,
whole milk,citrus fruit,pip fruit,butter,grapes,ice cream,margarine,whipped/sour cream,,,
pork,root vegetables,,,,,,,,,
citrus fruit,beef,rolls/buns,whole milk,,,,,,,
butter,frozen vegetables,,,,,,,,,
soda,newspapers,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
pip fruit,long life bakery product,,,,,,,,,
condensed milk,bottled water,bottled beer,,,,,,,,
ham,whole milk,pastry,herbs,herbs,newspapers,chewing gum,whole milk,,,
sausage,salt,,,,,,,,,
pip fruit,shopping bags,white wine,pet care,,,,,,,
root vegetables,newspapers,butter,,,,,,,,
citrus fruit,pastry,dish cleaner,,,,,,,,
sausage,frankfurter,other vegetables,bottled water,,,,,,,
beef,root vegetables,frozen potato products,butter,newspapers,,,,,,
tropical fruit,vinegar,sauces,,,,,,,,
chicken,soda,shopping bags,,,,,,,,
misc. beverages,rolls/buns,,,,,,,,,
whole milk,hamburger meat,newspapers,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
rolls/buns,whole milk,butter,frozen vegetables,,,,,,,
root vegetables,margarine,,,,,,,,,
beef,candy,,,,,,,,,
pip fruit,flour,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
pork,whole milk,,,,,,,,,
whole milk,domestic eggs,rolls/buns,long life bakery product,,,,,,,
bottled water,napkins,,,,,,,,,
hamburger meat,newspapers,,,,,,,,,
onions,whole milk,,,,,,,,,
domestic eggs,whole milk,fruit/vegetable juice,,,,,,,,
frankfurter,other vegetables,ham,other vegetables,other vegetables,fruit/vegetable juice,rolls/buns,fruit/vegetable juice,rolls/buns,,
yogurt,butter,,,,,,,,,
bottled beer,ice cream,pastry,red/blush wine,,,,,,,
whole milk,bottled water,,,,,,,,,
tropical fruit,sugar,,,,,,,,,
pot plants,chicken,,,,,,,,,
ice cream,fruit/vegetable juice,,,,,,,,,
frozen meals,frozen vegetables,curd,,,,,,,,
onions,instant coffee,,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
baking powder,fruit/vegetable juice,,,,,,,,,
yogurt,long life bakery product,newspapers,,,,,,,,
soda,specialty bar,,,,,,,,,
citrus fruit,skin care,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
canned beer,salty snack,,,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
onions,curd,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
whole milk,bottled beer,rolls/buns,,,,,,,,
frankfurter,yogurt,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
chocolate,bottled water,,,,,,,,,
rolls/buns,oil,,,,,,,,,
onions,liquor (appetizer),,,,,,,,,
tropical fruit,sausage,tropical fruit,detergent,butter,newspapers,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
frozen meals,fruit/vegetable juice,,,,,,,,,
canned beer,canned beer,,,,,,,,,
whipped/sour cream,coffee,,,,,,,,,
red/blush wine,whole milk,margarine,,,,,,,,
whole milk,hamburger meat,,,,,,,,,
beef,specialty bar,,,,,,,,,
photo/film,pip fruit,butter,liquor (appetizer),bottled beer,sweet spreads,,,,,
pip fruit,pork,brown bread,whole milk,,,,,,,
coffee,rolls/buns,soda,,,,,,,,
sausage,butter,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
turkey,curd,sugar,,,,,,,,
bottled beer,domestic eggs,,,,,,,,,
white wine,whole milk,,,,,,,,,
cat food,curd,bottled water,frozen vegetables,tea,,,,,,
dessert,root vegetables,,,,,,,,,
whole milk,tropical fruit,soda,newspapers,,,,,,,
tropical fruit,spread cheese,,,,,,,,,
candy,dessert,rolls/buns,canned fish,,,,,,,
whole milk,whole milk,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
tidbits,dessert,cat food,,,,,,,,
sausage,brown bread,,,,,,,,,
canned beer,soda,,,,,,,,,
frozen vegetables,rice,,,,,,,,,
whole milk,newspapers,,,,,,,,,
hard cheese,waffles,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
sausage,pastry,shopping bags,,,,,,,,
tropical fruit,cat food,,,,,,,,,
margarine,whipped/sour cream,,,,,,,,,
tropical fruit,yogurt,curd,margarine,,,,,,,
finished products,cocoa drinks,,,,,,,,,
bottled water,frozen meals,,,,,,,,,
beef,canned beer,,,,,,,,,
bathroom cleaner,popcorn,,,,,,,,,
sausage,soda,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
pork,whipped/sour cream,,,,,,,,,
bottled water,chocolate,,,,,,,,,
brown bread,canned beer,,,,,,,,,
chicken,whole milk,,,,,,,,,
hamburger meat,pastry,,,,,,,,,
ice cream,whole milk,,,,,,,,,
butter,yogurt,,,,,,,,,
canned beer,shopping bags,hard cheese,,,,,,,,
pork,yogurt,,,,,,,,,
waffles,curd,,,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
beef,newspapers,,,,,,,,,
whole milk,root vegetables,rolls/buns,whipped/sour cream,,,,,,,
whole milk,chicken,,,,,,,,,
chicken,soda,,,,,,,,,
kitchen towels,rolls/buns,,,,,,,,,
sausage,brown bread,,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
tropical fruit,salt,,,,,,,,,
brown bread,processed cheese,,,,,,,,,
soda,sliced cheese,,,,,,,,,
frankfurter,frankfurter,pip fruit,yogurt,,,,,,,
coffee,other vegetables,specialty cheese,,,,,,,,
whole milk,frozen vegetables,soda,chocolate,,,,,,,
soda,grapes,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
canned beer,domestic eggs,white wine,waffles,,,,,,,
shopping bags,chocolate,,,,,,,,,
yogurt,tropical fruit,specialty bar,,,,,,,,
frankfurter,napkins,,,,,,,,,
waffles,yogurt,,,,,,,,,
tropical fruit,other vegetables,frozen meals,pastry,,,,,,,
root vegetables,butter milk,,,,,,,,,
frankfurter,beef,,,,,,,,,
softener,salty snack,,,,,,,,,
chicken,coffee,,,,,,,,,
whipped/sour cream,berries,cream cheese ,,,,,,,,
pork,whipped/sour cream,dishes,,,,,,,,
canned beer,detergent,root vegetables,root vegetables,butter milk,,,,,,
hamburger meat,other vegetables,frozen dessert,oil,,,,,,,
canned beer,cookware,,,,,,,,,
coffee,rolls/buns,,,,,,,,,
pip fruit,pickled vegetables,,,,,,,,,
pork,shopping bags,,,,,,,,,
chicken,soda,,,,,,,,,
oil,margarine,,,,,,,,,
whole milk,rolls/buns,canned fish,,,,,,,,
other vegetables,soda,,,,,,,,,
spread cheese,other vegetables,,,,,,,,,
frankfurter,pastry,,,,,,,,,
bottled water,shopping bags,soda,flour,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
newspapers,dishes,,,,,,,,,
ham,spread cheese,,,,,,,,,
other vegetables,sliced cheese,canned vegetables,,,,,,,,
sausage,canned beer,,,,,,,,,
rolls/buns,soda,,,,,,,,,
oil,sparkling wine,,,,,,,,,
berries,other vegetables,,,,,,,,,
sausage,dessert,,,,,,,,,
dessert,domestic eggs,,,,,,,,,
root vegetables,sausage,whole milk,chewing gum,brown bread,,,,,,
canned fish,rolls/buns,domestic eggs,,,,,,,,
other vegetables,beverages,,,,,,,,,
rolls/buns,cream cheese ,brown bread,,,,,,,,
berries,coffee,margarine,,,,,,,,
chocolate marshmallow,whole milk,sugar,,,,,,,,
shopping bags,pickled vegetables,,,,,,,,,
curd,pip fruit,,,,,,,,,
white wine,bottled beer,,,,,,,,,
curd,UHT-milk,,,,,,,,,
pastry,soda,detergent,,,,,,,,
citrus fruit,specialty cheese,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
frozen fish,baking powder,,,,,,,,,
tropical fruit,cat food,soda,,,,,,,,
dog food,sausage,dessert,shopping bags,,,,,,,
whole milk,rolls/buns,canned fruit,onions,soda,,,,,,
newspapers,beef,,,,,,,,,
canned beer,misc. beverages,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
beef,yogurt,,,,,,,,,
meat,beef,curd,,,,,,,,
root vegetables,waffles,cream cheese ,,,,,,,,
sausage,pickled vegetables,,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
finished products,berries,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
whole milk,grapes,chocolate,pot plants,,,,,,,
tropical fruit,white wine,oil,,,,,,,,
whipped/sour cream,pastry,napkins,,,,,,,,
candles,whole milk,,,,,,,,,
chicken,cream cheese ,,,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
butter,oil,,,,,,,,,
soda,mayonnaise,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
sausage,whole milk,dessert,UHT-milk,,,,,,,
sausage,yogurt,,,,,,,,,
cream cheese ,fruit/vegetable juice,,,,,,,,,
butter,waffles,,,,,,,,,
other vegetables,margarine,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
tropical fruit,candy,,,,,,,,,
chicken,whipped/sour cream,canned vegetables,,,,,,,,
sausage,UHT-milk,,,,,,,,,
domestic eggs,processed cheese,whole milk,bottled water,,,,,,,
waffles,pip fruit,whole milk,beef,yogurt,,,,,,
whole milk,candy,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
whole milk,soda,,,,,,,,,
cream cheese ,fruit/vegetable juice,whole milk,shopping bags,,,,,,,
onions,whole milk,,,,,,,,,
specialty bar,frozen meals,kitchen towels,whole milk,,,,,,,
rolls/buns,bottled beer,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
ham,chewing gum,frozen vegetables,,,,,,,,
pip fruit,whole milk,,,,,,,,,
margarine,herbs,,,,,,,,,
liquor (appetizer),rolls/buns,yogurt,,,,,,,,
meat,other vegetables,pasta,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
white bread,napkins,,,,,,,,,
rolls/buns,detergent,,,,,,,,,
beef,cake bar,butter,,,,,,,,
root vegetables,roll products ,root vegetables,whole milk,,,,,,,
citrus fruit,specialty bar,Instant food products,jam,,,,,,,
yogurt,canned beer,,,,,,,,,
rolls/buns,female sanitary products,,,,,,,,,
grapes,frozen vegetables,,,,,,,,,
pip fruit,citrus fruit,,,,,,,,,
sausage,soda,,,,,,,,,
long life bakery product,sweet spreads,,,,,,,,,
sausage,processed cheese,,,,,,,,,
napkins,white bread,,,,,,,,,
tropical fruit,tropical fruit,whole milk,,,,,,,,
frankfurter,frozen potato products,newspapers,softener,abrasive cleaner,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
bottled beer,newspapers,,,,,,,,,
bottled water,yogurt,,,,,,,,,
